2026-05-02 01:40:05 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=8.499102e-05 final_test_mse=8.036547e+01
2026-05-02 01:40:05 | INFO | search_model_configurations | Saved search progress after 30 completed trials
2026-05-02 01:40:05 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 64, 'num_hidden_layers': 2, 'learning_rate': 0.003}
2026-05-02 01:40:09 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=7.503205e-05 final_test_mse=8.068476e+01
2026-05-02 01:40:10 | INFO | search_model_configurations | Saved search progress after 31 completed trials
2026-05-02 01:40:10 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 64, 'num_hidden_layers': 2, 'learning_rate': 0.001}
2026-05-02 01:40:13 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=3.554674e-01 final_test_mse=7.346694e+01
2026-05-02 01:40:14 | INFO | search_model_configurations | Saved search progress after 32 completed trials
2026-05-02 01:40:14 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 64, 'num_hidden_layers': 2, 'learning_rate': 1e-05}
2026-05-02 01:40:17 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=1.409117e+02 final_test_mse=1.544765e+02
2026-05-02 01:40:19 | INFO | search_model_configurations | Saved search progress after 33 completed trials
2026-05-02 01:40:19 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 64, 'num_hidden_layers': 4, 'learning_rate': 0.003}
2026-05-02 01:40:23 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=4.929063e-05 final_test_mse=8.521200e+01
2026-05-02 01:40:24 | INFO | search_model_configurations | Saved search progress after 34 completed trials
2026-05-02 01:40:24 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 128, 'num_hidden_layers': 1, 'learning_rate': 0.005}
2026-05-02 01:40:27 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=1.267513e-02 final_test_mse=9.356623e+01
2026-05-02 01:40:31 | INFO | search_model_configurations | Saved search progress after 35 completed trials
2026-05-02 01:40:31 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 128, 'num_hidden_layers': 1, 'learning_rate': 0.002}
2026-05-02 01:40:34 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=4.003560e+00 final_test_mse=6.637006e+01
2026-05-02 01:40:35 | INFO | search_model_configurations | Saved search progress after 36 completed trials
2026-05-02 01:40:35 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 128, 'num_hidden_layers': 1, 'learning_rate': 0.0003}
2026-05-02 01:40:39 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=3.190979e+01 final_test_mse=3.974293e+01
2026-05-02 01:40:39 | INFO | search_model_configurations | Saved search progress after 37 completed trials
2026-05-02 01:40:39 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 128, 'num_hidden_layers': 2, 'learning_rate': 0.1}
2026-05-02 01:40:43 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=8.937856e-01 final_test_mse=6.360542e+01
2026-05-02 01:40:44 | INFO | search_model_configurations | Saved search progress after 38 completed trials
2026-05-02 01:40:44 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 256, 'num_hidden_layers': 1, 'learning_rate': 0.1}
2026-05-02 01:40:47 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=3.733986e-04 final_test_mse=8.043979e+01
2026-05-02 01:40:48 | INFO | search_model_configurations | Saved search progress after 39 completed trials
2026-05-02 01:40:48 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 256, 'num_hidden_layers': 1, 'learning_rate': 0.02}
2026-05-02 01:40:51 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=4.935918e-02 final_test_mse=8.444128e+01
2026-05-02 01:40:53 | INFO | search_model_configurations | Saved search progress after 40 completed trials
2026-05-02 01:40:53 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 256, 'num_hidden_layers': 1, 'learning_rate': 0.0001}
2026-05-02 01:40:56 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=6.427537e+01 final_test_mse=7.998860e+01
