best_epoch,best_test_mse,epochs,final_test_mse,final_train_mse,hidden,lag,learning_rate,loss_history_npz,model_type,num_hidden_layers,num_layers
600,136.38801448170733,600,136.38801448170733,147.560546875,512,32,3e-05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_32_hidden_512_layers_0_lr_3em05.npz,mlp,0,
30,38.492294683689025,600,68.45770769817074,1.4450134882063037e-12,512,32,0.005,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_32_hidden_512_layers_1_lr_0p005.npz,mlp,1,
84,41.43155487804878,600,70.4919921875,0.003321414813399315,512,32,0.1,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_32_hidden_512_layers_2_lr_0p1.npz,mlp,2,
44,40.70538300304878,600,58.69497903963415,2.43389204115374e-05,512,32,0.05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_32_hidden_512_layers_2_lr_0p05.npz,mlp,2,
32,38.92342320884146,600,60.827500952743904,0.00243375007994473,512,32,0.0007,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_32_hidden_512_layers_3_lr_0p0007.npz,mlp,3,
20,14.279710127667682,600,26.478868140243904,0.006459118332713842,32,48,0.1,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_32_layers_1_lr_0p1.npz,mlp,1,
27,14.522377572408537,600,25.007331364329268,0.00032986525911837816,32,48,0.05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_32_layers_2_lr_0p05.npz,mlp,2,
295,14.599564119664635,600,16.727106754954267,2.1830081939697266,32,48,0.0007,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_32_layers_2_lr_0p0007.npz,mlp,2,
600,65.64805640243902,600,65.64805640243902,66.66458129882812,64,48,0.001,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_64_layers_0_lr_0p001.npz,mlp,0,
600,111.89045350609756,600,111.89045350609756,116.27102661132812,64,48,1e-05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_64_layers_3_lr_1em05.npz,mlp,3,
600,12.284227324695122,600,12.284227324695122,10.732460021972656,128,48,0.02,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_128_layers_0_lr_0p02.npz,mlp,0,
600,98.64053925304879,600,98.64053925304879,98.12956237792969,128,48,0.0003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_128_layers_0_lr_0p0003.npz,mlp,0,
21,14.725229849466464,600,19.702737947789632,0.00040384478052146733,128,48,0.1,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_128_layers_1_lr_0p1.npz,mlp,1,
439,13.706838319359756,600,14.08160966082317,2.558349370956421,128,48,0.0007,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_128_layers_1_lr_0p0007.npz,mlp,1,
600,107.13014481707317,600,107.13014481707317,107.09468841552734,128,48,3e-05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_128_layers_1_lr_3em05.npz,mlp,1,
62,14.2552734375,600,18.2944931402439,1.0548702753312988e-12,128,48,0.002,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_128_layers_2_lr_0p002.npz,mlp,2,
155,15.65112900152439,600,20.24331650152439,0.002484526950865984,128,48,0.0003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_128_layers_3_lr_0p0003.npz,mlp,3,
118,11.827965415396342,600,11.853367949695121,10.789817810058594,256,48,0.05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_256_layers_0_lr_0p05.npz,mlp,0,
597,11.853377477134146,600,11.853377477134146,10.78981876373291,256,48,0.02,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_256_layers_0_lr_0p02.npz,mlp,0,
39,12.557499285442074,600,18.23555878429878,1.2818307613265967e-12,256,48,0.005,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_256_layers_1_lr_0p005.npz,mlp,1,
60,12.506846655868902,600,18.39685237233232,1.7501870388514362e-06,256,48,0.003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_256_layers_1_lr_0p003.npz,mlp,1,
52,14.807704125381097,600,18.879747046493904,2.7272457838074804e-13,256,48,0.003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_256_layers_4_lr_0p003.npz,mlp,4,
25,14.230385384908537,600,19.823098084984757,3.0025857017737523e-13,256,48,0.002,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_256_layers_4_lr_0p002.npz,mlp,4,
77,18.25287490472561,600,20.75805068597561,7.385263733027114e-13,512,48,0.2,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_512_layers_1_lr_0p2.npz,mlp,1,
270,11.703196455792684,600,13.378366758765244,0.8251969218254089,512,48,0.0005,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_512_layers_1_lr_0p0005.npz,mlp,1,
34,12.848574456935976,600,16.022244188262196,2.6684627814702044e-13,512,48,0.01,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_512_layers_2_lr_0p01.npz,mlp,2,
45,11.584891863567073,600,15.602889195884146,1.2076674296007672e-12,512,48,0.0007,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_512_layers_2_lr_0p0007.npz,mlp,2,
39,12.461444836128049,600,15.540201028963414,0.014909670688211918,512,48,0.001,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_512_layers_3_lr_0p001.npz,mlp,3,
80,12.906521532012196,600,17.32381026105183,0.004126057028770447,512,48,0.0001,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_48_hidden_512_layers_4_lr_0p0001.npz,mlp,4,
275,6.0623755478277435,600,6.075702648628049,5.664271354675293,32,64,0.02,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_32_layers_0_lr_0p02.npz,mlp,0,
41,8.076285013338415,600,13.848994855182926,3.2149803652625764e-12,32,64,0.01,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_32_layers_2_lr_0p01.npz,mlp,2,
600,82.95229611280487,600,82.95229611280487,78.26699829101562,32,64,1e-05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_32_layers_2_lr_1em05.npz,mlp,2,
131,8.732969702743903,600,13.332820836509146,0.0014911284670233727,32,64,0.001,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_32_layers_4_lr_0p001.npz,mlp,4,
61,7.534682259908537,600,7.568061642530488,5.320802211761475,64,64,0.2,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_64_layers_0_lr_0p2.npz,mlp,0,
132,7.562288014481707,600,7.568062833460366,5.320802211761475,64,64,0.05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_64_layers_0_lr_0p05.npz,mlp,0,
600,10.41483779535061,600,10.41483779535061,7.256836414337158,64,64,0.005,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_64_layers_0_lr_0p005.npz,mlp,0,
600,18.29803496570122,600,18.29803496570122,14.034095764160156,64,64,0.003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_64_layers_0_lr_0p003.npz,mlp,0,
600,64.65397770579268,600,64.65397770579268,73.61290740966797,64,64,3e-05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_64_layers_2_lr_3em05.npz,mlp,2,
600,69.51211890243903,600,69.51211890243903,81.30772399902344,64,64,1e-05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_64_layers_4_lr_1em05.npz,mlp,4,
600,71.44569359756098,600,71.44569359756098,64.57489013671875,128,64,0.0003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_128_layers_0_lr_0p0003.npz,mlp,0,
33,7.99190048589939,600,9.849300328696646,2.394776542867516e-13,128,64,0.02,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_128_layers_1_lr_0p02.npz,mlp,1,
47,82.02701028963415,600,82.4189024390244,78.83211517333984,128,64,0.2,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_128_layers_4_lr_0p2.npz,mlp,4,
78,8.763258026867378,600,9.94150390625,3.0950555895969956e-08,128,64,0.001,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_128_layers_4_lr_0p001.npz,mlp,4,
336,11.00701934070122,600,11.483379382621951,9.61959787000588e-13,256,64,0.1,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_256_layers_1_lr_0p1.npz,mlp,1,
244,9.227486661585365,600,10.322965891768293,0.04860007390379906,256,64,0.0007,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_256_layers_1_lr_0p0007.npz,mlp,1,
600,30.910030011432926,600,30.910030011432926,17.5542049407959,256,64,0.0001,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_256_layers_1_lr_0p0001.npz,mlp,1,
16,9.708170374428354,600,11.926841177591463,2.1258617425006648e-13,256,64,0.002,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_256_layers_3_lr_0p002.npz,mlp,3,
45,9.097254311166159,600,12.025652629573171,3.8698485063139165e-13,256,64,0.0005,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_256_layers_3_lr_0p0005.npz,mlp,3,
600,68.96006573932927,600,68.96006573932927,52.403682708740234,256,64,1e-05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_256_layers_3_lr_1em05.npz,mlp,3,
51,10.03600419207317,600,12.770551876905488,4.534585968940519e-06,256,64,0.0003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_256_layers_4_lr_0p0003.npz,mlp,4,
600,71.0880811737805,600,71.0880811737805,56.295101165771484,512,64,3e-05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_512_layers_1_lr_3em05.npz,mlp,1,
37,7.603147627667683,600,8.951551781631098,2.3846327473417417e-13,512,64,0.02,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_512_layers_2_lr_0p02.npz,mlp,2,
42,8.651819740853659,600,10.240586890243902,7.65095592214493e-06,512,64,0.0003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_64_hidden_512_layers_3_lr_0p0003.npz,mlp,3,
600,81.16831173780488,600,81.16831173780488,70.91142272949219,32,80,0.001,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_32_layers_0_lr_0p001.npz,mlp,0,
600,172.3545731707317,600,172.3545731707317,152.4291534423828,32,80,0.0001,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_32_layers_0_lr_0p0001.npz,mlp,0,
56,7.503850276295732,600,13.251780440167684,4.3811535732629636e-08,32,80,0.02,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_32_layers_2_lr_0p02.npz,mlp,2,
426,9.237626238567072,600,9.864983088795732,1.0844776630401611,32,80,0.0007,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_32_layers_2_lr_0p0007.npz,mlp,2,
600,181.02614329268292,600,181.02614329268292,159.21478271484375,32,80,3e-05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_32_layers_3_lr_3em05.npz,mlp,3,
217,7.374839224466464,600,9.19793730945122,0.14405591785907745,64,80,0.003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_64_layers_1_lr_0p003.npz,mlp,1,
